dataset_uuid,organization_uuid,name,description,access_level,license,metadata_created,metadata_modified,maintainer_email,maintainer_name,identifier
fa209577-adb8-4db9-9269-dbf15e670ea2,1cfe6182-d24e-55cd-bf9c-ed4571e81522,National Energy Inventory 2013,Federal dataset for national energy inventory 2013. Includes historical records and current measurements across multiple geographic regions.,public,U.S. Government Work,2011-07-26 23:06:43,2024-02-25 17:05:37,opendata@records.nyc.gov,Open Data Team,national-energy-inventory-2013-fa209577
01227479-b45e-4d0a-878d-bf65d527aba2,edd359ae-a154-5e6e-9317-3a7cab6d8290,Business Monitoring Records 2019,"Open government dataset providing detailed business information. Suitable for academic research, journalism, and data science applications.",public,Open Data Commons Public Domain,2019-01-29 00:48:51,2020-11-22 22:27:21,fws_data@fws.gov,Geospatial Services,business-monitoring-records-2019-01227479
ffdae75f-73ae-4b0e-bdbf-fff6218748d9,ea0ed734-92dc-575b-87ae-b4491b0a52e3,Annual Geospatial Report - U.S. Fish and,"Open government dataset providing detailed geospatial information. Suitable for academic research, journalism, and data science applications.",public,License Not Specified,2010-11-19 17:18:53,2023-07-11 19:56:55,data@dir.texas.gov,Data Governance,annual-geospatial-report-u-s-fish-and-ffdae75f
8c38da32-d0ca-43f4-b620-d7a66ff0b26d,f702af7c-3b01-5abd-8846-78fd4f1787b2,Public Safety Indicators Dashboard,Comprehensive public safety statistics for research and policy analysis. Data sourced from official government records and surveys.,public,Creative Commons CCZero,2013-12-26 06:42:17,2023-12-08 21:41:04,nihod@nih.gov,Open Data Office,public-safety-indicators-dashboard-8c38da32
52d16442-8526-4928-94c4-bfe9238ecbdd,47f1c7c4-b955-570a-95c9-c989daae1511,Climate Statistics by ZIP Code (2022),Federal dataset for climate statistics by zip code (2022). Includes historical records and current measurements across multiple geographic regions.,public,License Not Specified,2014-07-02 08:04:13,2023-03-07 22:20:13,data@who.int,Global Data,climate-statistics-by-zip-code-2022-52d16442
50488051-16ec-406a-9a3e-e850e168723a,28fe1fbe-4f76-5fb3-b3a6-ded13e2faa90,Regional Labor Trends 2017-2018,Federal dataset for regional labor trends 2017-2018. Includes historical records and current measurements across multiple geographic regions.,public,Creative Commons Attribution,2018-06-23 01:55:07,2020-11-09 20:10:50,cdcinfo@cdc.gov,Public Health Data,regional-labor-trends-2017-2018-50488051
18573888-303a-41ea-a0da-8e48ec3cc92d,3eaccee0-381b-5fbe-af5a-5522264844df,Health Statistics by City-Level (2021),"Open government dataset providing detailed health information. Suitable for academic research, journalism, and data science applications.",restricted public,Other (Open),2020-11-24 16:48:11,2022-11-05 03:55:40,data@dol.gov,Chief Data Officer,health-statistics-by-city-level-2021-18573888
841d151f-306d-4e5e-a504-b56b5450909f,55564db0-b0e3-58d0-922e-9bb646183f6f,National Energy Inventory 2013,Comprehensive energy statistics for research and policy analysis. Data sourced from official government records and surveys.,public,Creative Commons Attribution,2012-09-13 18:05:05,2024-02-07 15:52:04,info@usda.gov,Communications Office,national-energy-inventory-2013-841d151f
62b712f3-2fab-4bc7-8738-ea0d82bf589d,f702af7c-3b01-5abd-8846-78fd4f1787b2,Regional Water Trends 2017-2018,Comprehensive water statistics for research and policy analysis. Data sourced from official government records and surveys.,public,License Not Specified,2012-10-12 07:04:21,2020-02-13 18:35:14,nihod@nih.gov,Open Data Office,regional-water-trends-2017-2018-62b712f3
d80b3115-3e59-4bbc-86a9-46bc1eea5d24,81a78c8e-2f45-5900-9dc6-29316659f33a,Labor Monitoring Records 2013,Federal dataset for labor monitoring records 2013. Includes historical records and current measurements across multiple geographic regions.,restricted public,Creative Commons CCZero,2011-06-26 23:59:56,2023-03-15 18:30:15,opa@ssa.gov,Open Data,labor-monitoring-records-2013-d80b3115
12b5fa47-9e28-45c4-b7e9-14d0db93b240,1cfe6182-d24e-55cd-bf9c-ed4571e81522,U.S. Department of Open Data: Energy,Federal dataset for u.s. department of open data: energy. Includes historical records and current measurements across multiple geographic regions.,public,Creative Commons Attribution,2018-12-24 03:15:12,2021-01-24 17:28:08,opendata@records.nyc.gov,Open Data Team,u-s-department-of-open-data-energy-12b5fa47
4d0ccc8d-cb0a-4260-9cf8-e5e80ed5db44,b5e19456-28d5-581c-bf70-d015b6f89c34,Housing Statistics by Metropolitan (2012),Federal dataset for housing statistics by metropolitan (2012). Includes historical records and current measurements across multiple geographic regions.,public,Open Data Commons Public Domain,2010-01-09 12:16:59,2024-05-24 14:18:27,data@federalreserve.gov,Research Data,housing-statistics-by-metropolitan-2012-4d0ccc8d
150c9202-d04e-43c1-bc53-6780d162ef4d,81a78c8e-2f45-5900-9dc6-29316659f33a,State-Level Health Trends 2011-2012,Comprehensive health statistics for research and policy analysis. Data sourced from official government records and surveys.,public,U.S. Government Work,2010-10-08 19:04:43,2024-10-31 07:25:07,opa@ssa.gov,Open Data,state-level-health-trends-2011-2012-150c9202
2b6e21c7-01e2-4df8-bd41-9972efcaaa6a,a9817270-ab22-5d9a-bb87-c241b4039796,National Institutes of Public Safety Dataset 2020,This dataset contains public safety data collected by federal agencies. It covers key indicators relevant to national institutes of public safety dataset 2020 and is updated periodically.,public,Creative Commons CCZero,2015-02-16 10:59:48,2020-05-28 00:29:39,eddata@ed.gov,Data Quality Group,national-institutes-of-public-safety-dataset-2020-2b6e21c7
fb6c6e3f-cdcf-4242-b431-b78b3f2d31a7,78eb6bf4-8b08-5c00-8a7c-d4031db1b218,Urban Science & Research Trends 2010-2011,This dataset contains science & research data collected by federal agencies. It covers key indicators relevant to urban science & research trends 2010-2011 and is updated periodically.,public,Creative Commons CCZero,2013-05-11 21:06:56,2020-10-02 08:07:56,opendata@state.ca.gov,CDT Open Data,urban-science-research-trends-2010-2011-fb6c6e3f
0181dcaa-499b-41fc-9682-7b85c0998274,f5f8d772-b48e-5309-97f1-3cb1d4a95720,Business Statistics by ZIP Code (2010),Federal dataset for business statistics by zip code (2010). Includes historical records and current measurements across multiple geographic regions.,public,U.S. Government Work,2018-08-25 04:40:16,2020-11-26 23:28:35,data@hhs.gov,Open Data Team,business-statistics-by-zip-code-2010-0181dcaa
c666bde7-6ffa-451b-a373-29c669a84ae6,ea548bb9-4b2c-5f08-be80-218c30e7a80e,Climate Indicators Dashboard,Federal dataset for climate indicators dashboard. Includes historical records and current measurements across multiple geographic regions.,non-public,License Not Specified,2020-01-30 11:13:43,2021-05-26 21:06:22,census.data@census.gov,Data Dissemination,climate-indicators-dashboard-c666bde7
3aa35ff4-b6e9-4145-a6d9-dc0f58c8da86,2e700355-61d6-530f-b2ef-15217fcfd96f,NASA Labor Dataset 2022,Federal dataset for nasa labor dataset 2022. Includes historical records and current measurements across multiple geographic regions.,public,Creative Commons CCZero,2014-04-16 01:54:30,2021-03-31 06:52:58,dataportal@cityofchicago.org,Data Analytics,nasa-labor-dataset-2022-3aa35ff4
c2f01a0a-1aca-40c2-905d-0bb1a0555e78,1cfe6182-d24e-55cd-bf9c-ed4571e81522,National Social Services Trends 2015-2016,Federal dataset for national social services trends 2015-2016. Includes historical records and current measurements across multiple geographic regions.,public,Open Data Commons Public Domain,2011-04-18 08:11:37,2021-06-27 01:06:38,opendata@records.nyc.gov,Open Data Team,national-social-services-trends-2015-2016-c2f01a0a
82b73678-4fa5-4162-8761-692d2c172bec,55564db0-b0e3-58d0-922e-9bb646183f6f,Metropolitan Social Services Survey Results,This dataset contains social services data collected by federal agencies. It covers key indicators relevant to metropolitan social services survey results and is updated periodically.,public,Open Data Commons Public Domain,2010-10-14 21:58:21,2023-06-30 10:42:54,info@usda.gov,Communications Office,metropolitan-social-services-survey-results-82b73678
c1dd34a4-5187-4a19-a3d3-2c11615ef8ac,ea0ed734-92dc-575b-87ae-b4491b0a52e3,Federal Health Database 2014,"Open government dataset providing detailed health information. Suitable for academic research, journalism, and data science applications.",public,Creative Commons Attribution,2016-02-23 00:19:18,2021-03-06 13:50:37,data@dir.texas.gov,Data Governance,federal-health-database-2014-c1dd34a4
e86f4d62-07a7-487e-9e95-588fbccef8dc,7b30979e-2805-5bdb-b8d7-7122baf8a47b,City-Level Education Survey Results,This dataset contains education data collected by federal agencies. It covers key indicators relevant to city-level education survey results and is updated periodically.,public,License Not Specified,2012-07-09 06:09:01,2020-04-04 07:30:39,data@faa.gov,Statistics Division,city-level-education-survey-results-e86f4d62
fbfe4f27-5c04-4461-8b39-a3c9ff3f1235,47f1c7c4-b955-570a-95c9-c989daae1511,World Health Organization Open Data: Energy,This dataset contains energy data collected by federal agencies. It covers key indicators relevant to world health organization open data: energy and is updated periodically.,public,Creative Commons Attribution,2019-01-07 22:33:29,2020-04-12 17:15:58,data@who.int,Global Data,world-health-organization-open-data-energy-fbfe4f27
93b724e6-0f94-4239-ae8b-5b78cf47fc7a,47f1c7c4-b955-570a-95c9-c989daae1511,National Labor Inventory 2022,Comprehensive labor statistics for research and policy analysis. Data sourced from official government records and surveys.,public,Open Data Commons Public Domain,2015-06-08 20:15:17,2022-06-19 02:45:18,data@who.int,Global Data,national-labor-inventory-2022-93b724e6
c51d7e07-cb60-4779-8d06-1f19969a3739,78eb6bf4-8b08-5c00-8a7c-d4031db1b218,U.S. Department of Open Data: Housing,This dataset contains housing data collected by federal agencies. It covers key indicators relevant to u.s. department of open data: housing and is updated periodically.,restricted public,Other (Open),2016-02-01 14:26:03,2021-02-27 13:24:57,opendata@state.ca.gov,CDT Open Data,u-s-department-of-open-data-housing-c51d7e07
