dataset_uuid,tag_name
fa209577-adb8-4db9-9269-dbf15e670ea2,mapping
fa209577-adb8-4db9-9269-dbf15e670ea2,grants
fa209577-adb8-4db9-9269-dbf15e670ea2,gis
01227479-b45e-4d0a-878d-bf65d527aba2,transportation
01227479-b45e-4d0a-878d-bf65d527aba2,tax
01227479-b45e-4d0a-878d-bf65d527aba2,inflation
01227479-b45e-4d0a-878d-bf65d527aba2,geojson
ffdae75f-73ae-4b0e-bdbf-fff6218748d9,employment
ffdae75f-73ae-4b0e-bdbf-fff6218748d9,survey
8c38da32-d0ca-43f4-b620-d7a66ff0b26d,procurement
8c38da32-d0ca-43f4-b620-d7a66ff0b26d,health
8c38da32-d0ca-43f4-b620-d7a66ff0b26d,real-time
52d16442-8526-4928-94c4-bfe9238ecbdd,remote-sensing
52d16442-8526-4928-94c4-bfe9238ecbdd,finance
52d16442-8526-4928-94c4-bfe9238ecbdd,housing
52d16442-8526-4928-94c4-bfe9238ecbdd,environment
50488051-16ec-406a-9a3e-e850e168723a,time-series
50488051-16ec-406a-9a3e-e850e168723a,population
50488051-16ec-406a-9a3e-e850e168723a,grants
50488051-16ec-406a-9a3e-e850e168723a,infrastructure
50488051-16ec-406a-9a3e-e850e168723a,annual
50488051-16ec-406a-9a3e-e850e168723a,census
18573888-303a-41ea-a0da-8e48ec3cc92d,real-time
18573888-303a-41ea-a0da-8e48ec3cc92d,earthquake
18573888-303a-41ea-a0da-8e48ec3cc92d,csv
18573888-303a-41ea-a0da-8e48ec3cc92d,tax
18573888-303a-41ea-a0da-8e48ec3cc92d,health
18573888-303a-41ea-a0da-8e48ec3cc92d,hurricane
841d151f-306d-4e5e-a504-b56b5450909f,time-series
841d151f-306d-4e5e-a504-b56b5450909f,satellite
841d151f-306d-4e5e-a504-b56b5450909f,gis
841d151f-306d-4e5e-a504-b56b5450909f,air-quality
841d151f-306d-4e5e-a504-b56b5450909f,mapping
841d151f-306d-4e5e-a504-b56b5450909f,education
62b712f3-2fab-4bc7-8738-ea0d82bf589d,infrastructure
62b712f3-2fab-4bc7-8738-ea0d82bf589d,open-data
d80b3115-3e59-4bbc-86a9-46bc1eea5d24,public-safety
d80b3115-3e59-4bbc-86a9-46bc1eea5d24,biodiversity
d80b3115-3e59-4bbc-86a9-46bc1eea5d24,satellite
d80b3115-3e59-4bbc-86a9-46bc1eea5d24,api
d80b3115-3e59-4bbc-86a9-46bc1eea5d24,procurement
12b5fa47-9e28-45c4-b7e9-14d0db93b240,csv
12b5fa47-9e28-45c4-b7e9-14d0db93b240,statistics
12b5fa47-9e28-45c4-b7e9-14d0db93b240,gdp
12b5fa47-9e28-45c4-b7e9-14d0db93b240,local
12b5fa47-9e28-45c4-b7e9-14d0db93b240,public-safety
12b5fa47-9e28-45c4-b7e9-14d0db93b240,hurricane
4d0ccc8d-cb0a-4260-9cf8-e5e80ed5db44,api
4d0ccc8d-cb0a-4260-9cf8-e5e80ed5db44,finance
4d0ccc8d-cb0a-4260-9cf8-e5e80ed5db44,wildfire
4d0ccc8d-cb0a-4260-9cf8-e5e80ed5db44,flood
150c9202-d04e-43c1-bc53-6780d162ef4d,health
150c9202-d04e-43c1-bc53-6780d162ef4d,inflation
150c9202-d04e-43c1-bc53-6780d162ef4d,water-quality
150c9202-d04e-43c1-bc53-6780d162ef4d,contracts
150c9202-d04e-43c1-bc53-6780d162ef4d,mapping
150c9202-d04e-43c1-bc53-6780d162ef4d,real-time
2b6e21c7-01e2-4df8-bd41-9972efcaaa6a,census
2b6e21c7-01e2-4df8-bd41-9972efcaaa6a,local
2b6e21c7-01e2-4df8-bd41-9972efcaaa6a,demographics
2b6e21c7-01e2-4df8-bd41-9972efcaaa6a,covid-19
fb6c6e3f-cdcf-4242-b431-b78b3f2d31a7,flood
fb6c6e3f-cdcf-4242-b431-b78b3f2d31a7,hurricane
fb6c6e3f-cdcf-4242-b431-b78b3f2d31a7,inflation
fb6c6e3f-cdcf-4242-b431-b78b3f2d31a7,api
0181dcaa-499b-41fc-9682-7b85c0998274,geojson
0181dcaa-499b-41fc-9682-7b85c0998274,agriculture
0181dcaa-499b-41fc-9682-7b85c0998274,finance
0181dcaa-499b-41fc-9682-7b85c0998274,vaccination
0181dcaa-499b-41fc-9682-7b85c0998274,state
0181dcaa-499b-41fc-9682-7b85c0998274,housing
c666bde7-6ffa-451b-a373-29c669a84ae6,json
c666bde7-6ffa-451b-a373-29c669a84ae6,climate-change
c666bde7-6ffa-451b-a373-29c669a84ae6,remote-sensing
c666bde7-6ffa-451b-a373-29c669a84ae6,infrastructure
c666bde7-6ffa-451b-a373-29c669a84ae6,public-safety
3aa35ff4-b6e9-4145-a6d9-dc0f58c8da86,infrastructure
3aa35ff4-b6e9-4145-a6d9-dc0f58c8da86,population
3aa35ff4-b6e9-4145-a6d9-dc0f58c8da86,open-data
3aa35ff4-b6e9-4145-a6d9-dc0f58c8da86,real-time
3aa35ff4-b6e9-4145-a6d9-dc0f58c8da86,transportation
c2f01a0a-1aca-40c2-905d-0bb1a0555e78,mapping
c2f01a0a-1aca-40c2-905d-0bb1a0555e78,housing
82b73678-4fa5-4162-8761-692d2c172bec,federal
82b73678-4fa5-4162-8761-692d2c172bec,air-quality
82b73678-4fa5-4162-8761-692d2c172bec,public-safety
82b73678-4fa5-4162-8761-692d2c172bec,contracts
82b73678-4fa5-4162-8761-692d2c172bec,energy
82b73678-4fa5-4162-8761-692d2c172bec,procurement
c1dd34a4-5187-4a19-a3d3-2c11615ef8ac,flood
c1dd34a4-5187-4a19-a3d3-2c11615ef8ac,contracts
c1dd34a4-5187-4a19-a3d3-2c11615ef8ac,spending
c1dd34a4-5187-4a19-a3d3-2c11615ef8ac,budget
e86f4d62-07a7-487e-9e95-588fbccef8dc,gdp
e86f4d62-07a7-487e-9e95-588fbccef8dc,state
e86f4d62-07a7-487e-9e95-588fbccef8dc,grants
e86f4d62-07a7-487e-9e95-588fbccef8dc,gis
e86f4d62-07a7-487e-9e95-588fbccef8dc,csv
fbfe4f27-5c04-4461-8b39-a3c9ff3f1235,local
fbfe4f27-5c04-4461-8b39-a3c9ff3f1235,remote-sensing
fbfe4f27-5c04-4461-8b39-a3c9ff3f1235,wildfire
fbfe4f27-5c04-4461-8b39-a3c9ff3f1235,demographics
fbfe4f27-5c04-4461-8b39-a3c9ff3f1235,inflation
93b724e6-0f94-4239-ae8b-5b78cf47fc7a,energy
93b724e6-0f94-4239-ae8b-5b78cf47fc7a,gis
93b724e6-0f94-4239-ae8b-5b78cf47fc7a,state
c51d7e07-cb60-4779-8d06-1f19969a3739,remote-sensing
c51d7e07-cb60-4779-8d06-1f19969a3739,real-time
c51d7e07-cb60-4779-8d06-1f19969a3739,covid-19
c51d7e07-cb60-4779-8d06-1f19969a3739,tax
c51d7e07-cb60-4779-8d06-1f19969a3739,employment
c51d7e07-cb60-4779-8d06-1f19969a3739,hurricane
83846155-c7b1-46da-bf47-95e1ac7e2b8b,grants
83846155-c7b1-46da-bf47-95e1ac7e2b8b,housing
35ed404c-2aea-4703-b7ba-3fe7f7096396,real-time
35ed404c-2aea-4703-b7ba-3fe7f7096396,grants
02769bd0-1908-4ff0-91ae-2c568a4c6a3b,survey
02769bd0-1908-4ff0-91ae-2c568a4c6a3b,finance
02769bd0-1908-4ff0-91ae-2c568a4c6a3b,json
02769bd0-1908-4ff0-91ae-2c568a4c6a3b,education
ff1aff7c-f3f6-4193-819e-a93f7bf30e6c,flood
ff1aff7c-f3f6-4193-819e-a93f7bf30e6c,grants
064fefca-7c0f-41b3-af91-ac612cc827ce,population
064fefca-7c0f-41b3-af91-ac612cc827ce,health
064fefca-7c0f-41b3-af91-ac612cc827ce,gdp
064fefca-7c0f-41b3-af91-ac612cc827ce,statistics
064fefca-7c0f-41b3-af91-ac612cc827ce,real-time
064fefca-7c0f-41b3-af91-ac612cc827ce,demographics
789fb37e-96d4-4d15-92df-346635831b43,statistics
789fb37e-96d4-4d15-92df-346635831b43,gdp
789fb37e-96d4-4d15-92df-346635831b43,satellite
f8490db0-0dcb-4e6a-9509-f12ef8908682,transportation
f8490db0-0dcb-4e6a-9509-f12ef8908682,housing
f8490db0-0dcb-4e6a-9509-f12ef8908682,remote-sensing
f8490db0-0dcb-4e6a-9509-f12ef8908682,vaccination
f8490db0-0dcb-4e6a-9509-f12ef8908682,infrastructure
f8490db0-0dcb-4e6a-9509-f12ef8908682,real-time
ee291a13-d4a8-4c17-a939-56e4325af4ae,census
ee291a13-d4a8-4c17-a939-56e4325af4ae,employment
ee291a13-d4a8-4c17-a939-56e4325af4ae,agriculture
7ff98ac9-ff9c-4fe2-ab1b-976cdf8e5364,inflation
7ff98ac9-ff9c-4fe2-ab1b-976cdf8e5364,wildfire
bf27713f-2900-455e-93f2-b13e2c8c6042,finance
bf27713f-2900-455e-93f2-b13e2c8c6042,housing
bf27713f-2900-455e-93f2-b13e2c8c6042,education
bf27713f-2900-455e-93f2-b13e2c8c6042,mortality
98c97ba3-2b4e-40f8-86fa-6d1400f7a3e3,census
98c97ba3-2b4e-40f8-86fa-6d1400f7a3e3,mapping
98c97ba3-2b4e-40f8-86fa-6d1400f7a3e3,gis
fdd02907-a3f4-44d2-ba3b-a73e4398340c,tax
fdd02907-a3f4-44d2-ba3b-a73e4398340c,remote-sensing
fdd02907-a3f4-44d2-ba3b-a73e4398340c,mortality
fdd02907-a3f4-44d2-ba3b-a73e4398340c,census
2c9fab4d-fa71-4ea5-b897-303fa77810d5,procurement
2c9fab4d-fa71-4ea5-b897-303fa77810d5,mortality
2c9fab4d-fa71-4ea5-b897-303fa77810d5,finance
92b1a511-10f9-449a-822c-e485a163bd70,public-safety
92b1a511-10f9-449a-822c-e485a163bd70,gis
92b1a511-10f9-449a-822c-e485a163bd70,hurricane
92b1a511-10f9-449a-822c-e485a163bd70,census
94be9026-81c6-4624-9b11-3d10bb3a24ca,spending
94be9026-81c6-4624-9b11-3d10bb3a24ca,demographics
94be9026-81c6-4624-9b11-3d10bb3a24ca,time-series
94be9026-81c6-4624-9b11-3d10bb3a24ca,api
94be9026-81c6-4624-9b11-3d10bb3a24ca,water-quality
3234deba-8982-4643-856e-a781a8bc0ada,hurricane
3234deba-8982-4643-856e-a781a8bc0ada,mapping
3234deba-8982-4643-856e-a781a8bc0ada,census
465ebcd8-0e12-4cbc-98a2-dd38a0f60a11,finance
465ebcd8-0e12-4cbc-98a2-dd38a0f60a11,contracts
465ebcd8-0e12-4cbc-98a2-dd38a0f60a11,hurricane
465ebcd8-0e12-4cbc-98a2-dd38a0f60a11,state
465ebcd8-0e12-4cbc-98a2-dd38a0f60a11,demographics
465ebcd8-0e12-4cbc-98a2-dd38a0f60a11,covid-19
1c0a43fc-c1b0-4b10-ba4a-962692954df4,contracts
1c0a43fc-c1b0-4b10-ba4a-962692954df4,grants
1c0a43fc-c1b0-4b10-ba4a-962692954df4,state
1c0a43fc-c1b0-4b10-ba4a-962692954df4,hurricane
1c0a43fc-c1b0-4b10-ba4a-962692954df4,geojson
a90d5595-53bf-4162-a354-96a17cc8afd2,gis
a90d5595-53bf-4162-a354-96a17cc8afd2,environment
a90d5595-53bf-4162-a354-96a17cc8afd2,grants
a90d5595-53bf-4162-a354-96a17cc8afd2,statistics
a90d5595-53bf-4162-a354-96a17cc8afd2,infrastructure
a90d5595-53bf-4162-a354-96a17cc8afd2,procurement
22b550e4-5dd7-4ccc-b0fd-97a0ac5f6408,gis
22b550e4-5dd7-4ccc-b0fd-97a0ac5f6408,education
22b550e4-5dd7-4ccc-b0fd-97a0ac5f6408,json
ca0e61cf-4a1b-4624-925d-5c0e821e4b23,spending
