dataset_uuid,topic_name
fa209577-adb8-4db9-9269-dbf15e670ea2,Energy
fa209577-adb8-4db9-9269-dbf15e670ea2,Agriculture
fa209577-adb8-4db9-9269-dbf15e670ea2,Elections
01227479-b45e-4d0a-878d-bf65d527aba2,Business
01227479-b45e-4d0a-878d-bf65d527aba2,Energy
ffdae75f-73ae-4b0e-bdbf-fff6218748d9,Geospatial
ffdae75f-73ae-4b0e-bdbf-fff6218748d9,Labor
ffdae75f-73ae-4b0e-bdbf-fff6218748d9,Science & Research
8c38da32-d0ca-43f4-b620-d7a66ff0b26d,Public Safety
8c38da32-d0ca-43f4-b620-d7a66ff0b26d,Elections
52d16442-8526-4928-94c4-bfe9238ecbdd,Climate
52d16442-8526-4928-94c4-bfe9238ecbdd,Elections
50488051-16ec-406a-9a3e-e850e168723a,Labor
50488051-16ec-406a-9a3e-e850e168723a,Agriculture
50488051-16ec-406a-9a3e-e850e168723a,Energy
18573888-303a-41ea-a0da-8e48ec3cc92d,Health
841d151f-306d-4e5e-a504-b56b5450909f,Energy
841d151f-306d-4e5e-a504-b56b5450909f,Business
841d151f-306d-4e5e-a504-b56b5450909f,Housing
62b712f3-2fab-4bc7-8738-ea0d82bf589d,Water
d80b3115-3e59-4bbc-86a9-46bc1eea5d24,Labor
d80b3115-3e59-4bbc-86a9-46bc1eea5d24,Business
d80b3115-3e59-4bbc-86a9-46bc1eea5d24,Water
12b5fa47-9e28-45c4-b7e9-14d0db93b240,Energy
12b5fa47-9e28-45c4-b7e9-14d0db93b240,Climate
4d0ccc8d-cb0a-4260-9cf8-e5e80ed5db44,Housing
4d0ccc8d-cb0a-4260-9cf8-e5e80ed5db44,Elections
4d0ccc8d-cb0a-4260-9cf8-e5e80ed5db44,Climate
150c9202-d04e-43c1-bc53-6780d162ef4d,Health
150c9202-d04e-43c1-bc53-6780d162ef4d,Criminal Justice
2b6e21c7-01e2-4df8-bd41-9972efcaaa6a,Public Safety
fb6c6e3f-cdcf-4242-b431-b78b3f2d31a7,Science & Research
fb6c6e3f-cdcf-4242-b431-b78b3f2d31a7,Transportation
fb6c6e3f-cdcf-4242-b431-b78b3f2d31a7,Housing
0181dcaa-499b-41fc-9682-7b85c0998274,Business
c666bde7-6ffa-451b-a373-29c669a84ae6,Climate
3aa35ff4-b6e9-4145-a6d9-dc0f58c8da86,Labor
c2f01a0a-1aca-40c2-905d-0bb1a0555e78,Social Services
c2f01a0a-1aca-40c2-905d-0bb1a0555e78,Housing
c2f01a0a-1aca-40c2-905d-0bb1a0555e78,Public Safety
82b73678-4fa5-4162-8761-692d2c172bec,Social Services
82b73678-4fa5-4162-8761-692d2c172bec,Science & Research
c1dd34a4-5187-4a19-a3d3-2c11615ef8ac,Health
c1dd34a4-5187-4a19-a3d3-2c11615ef8ac,Education
e86f4d62-07a7-487e-9e95-588fbccef8dc,Education
e86f4d62-07a7-487e-9e95-588fbccef8dc,Environment
fbfe4f27-5c04-4461-8b39-a3c9ff3f1235,Energy
fbfe4f27-5c04-4461-8b39-a3c9ff3f1235,Business
fbfe4f27-5c04-4461-8b39-a3c9ff3f1235,Elections
93b724e6-0f94-4239-ae8b-5b78cf47fc7a,Labor
c51d7e07-cb60-4779-8d06-1f19969a3739,Housing
c51d7e07-cb60-4779-8d06-1f19969a3739,Business
83846155-c7b1-46da-bf47-95e1ac7e2b8b,Public Safety
83846155-c7b1-46da-bf47-95e1ac7e2b8b,Criminal Justice
83846155-c7b1-46da-bf47-95e1ac7e2b8b,Agriculture
35ed404c-2aea-4703-b7ba-3fe7f7096396,Geospatial
35ed404c-2aea-4703-b7ba-3fe7f7096396,Labor
02769bd0-1908-4ff0-91ae-2c568a4c6a3b,Agriculture
02769bd0-1908-4ff0-91ae-2c568a4c6a3b,Energy
02769bd0-1908-4ff0-91ae-2c568a4c6a3b,Health
ff1aff7c-f3f6-4193-819e-a93f7bf30e6c,Demographics
ff1aff7c-f3f6-4193-819e-a93f7bf30e6c,Business
ff1aff7c-f3f6-4193-819e-a93f7bf30e6c,Water
064fefca-7c0f-41b3-af91-ac612cc827ce,Agriculture
064fefca-7c0f-41b3-af91-ac612cc827ce,Business
789fb37e-96d4-4d15-92df-346635831b43,Geospatial
789fb37e-96d4-4d15-92df-346635831b43,Agriculture
789fb37e-96d4-4d15-92df-346635831b43,Social Services
f8490db0-0dcb-4e6a-9509-f12ef8908682,Environment
f8490db0-0dcb-4e6a-9509-f12ef8908682,Elections
ee291a13-d4a8-4c17-a939-56e4325af4ae,Geospatial
ee291a13-d4a8-4c17-a939-56e4325af4ae,Science & Research
ee291a13-d4a8-4c17-a939-56e4325af4ae,Energy
7ff98ac9-ff9c-4fe2-ab1b-976cdf8e5364,Science & Research
7ff98ac9-ff9c-4fe2-ab1b-976cdf8e5364,Health
bf27713f-2900-455e-93f2-b13e2c8c6042,Education
bf27713f-2900-455e-93f2-b13e2c8c6042,Geospatial
98c97ba3-2b4e-40f8-86fa-6d1400f7a3e3,Climate
fdd02907-a3f4-44d2-ba3b-a73e4398340c,Education
2c9fab4d-fa71-4ea5-b897-303fa77810d5,Energy
92b1a511-10f9-449a-822c-e485a163bd70,Public Safety
92b1a511-10f9-449a-822c-e485a163bd70,Energy
92b1a511-10f9-449a-822c-e485a163bd70,Health
94be9026-81c6-4624-9b11-3d10bb3a24ca,Demographics
94be9026-81c6-4624-9b11-3d10bb3a24ca,Weather
3234deba-8982-4643-856e-a781a8bc0ada,Elections
465ebcd8-0e12-4cbc-98a2-dd38a0f60a11,Public Safety
465ebcd8-0e12-4cbc-98a2-dd38a0f60a11,Science & Research
1c0a43fc-c1b0-4b10-ba4a-962692954df4,Water
1c0a43fc-c1b0-4b10-ba4a-962692954df4,Environment
1c0a43fc-c1b0-4b10-ba4a-962692954df4,Demographics
a90d5595-53bf-4162-a354-96a17cc8afd2,Social Services
a90d5595-53bf-4162-a354-96a17cc8afd2,Transportation
22b550e4-5dd7-4ccc-b0fd-97a0ac5f6408,Demographics
22b550e4-5dd7-4ccc-b0fd-97a0ac5f6408,Energy
22b550e4-5dd7-4ccc-b0fd-97a0ac5f6408,Geospatial
ca0e61cf-4a1b-4624-925d-5c0e821e4b23,Transportation
ca0e61cf-4a1b-4624-925d-5c0e821e4b23,Finance
ca0e61cf-4a1b-4624-925d-5c0e821e4b23,Labor
cb2a6de4-dc1d-4590-b926-21f8a63ec5f4,Science & Research
cb2a6de4-dc1d-4590-b926-21f8a63ec5f4,Water
cb2a6de4-dc1d-4590-b926-21f8a63ec5f4,Criminal Justice
80ead091-f2af-4908-acd6-349d987ec4af,Public Safety
80ead091-f2af-4908-acd6-349d987ec4af,Finance
c1bceb62-dd96-48e5-a1e8-85b5280bf6f9,Science & Research
61d5432e-02ff-483f-a240-00687170a599,Geospatial
61d5432e-02ff-483f-a240-00687170a599,Public Safety
249219cd-3e42-4dd2-9872-021920d6dbfa,Agriculture
249219cd-3e42-4dd2-9872-021920d6dbfa,Environment
f18a1f3e-5755-4dc7-b8ad-08d88638849f,Finance
